review_queue_id,source_poll_notice_stage_id,notice_url,notice_link_text,triage_label,review_priority,suggested_metadata_scope,source_id,poll_id,institute,sponsor,publisher,publication_date,fieldwork_start,fieldwork_end,sample_size,population,method,round_type,scenario,commission_notice_url,public_report_url,verification_status,notes,captured_at,updated_at,metadata_review_decision,ready_for_canonical_metadata,candidate_level_values_extracted,review_notes,canonical_promotion_notes,created_at
poll_metadata_review_a15b32a660cd1a05,poll_notice_stage_a15b32a660cd1a05,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1942,9961 Pres Toluna Harris Interactive Lopinion Suivi du potentiel électoral V2 27 juin,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1942,,deferred,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,2026-06-29T07:49:13Z,defer,false,false,"Manual review: notice appears to be from June 2025. Presidential-context material, but outside the current MVP/canonical metadata review window. Deferred as possible historical baseline material. Candidate-level values were not extracted.",Do not promote to canonical metadata in current MVP cycle. Reconsider only if a historical baseline protocol is added.,2026-06-29T06:54:04Z
poll_metadata_review_de917f3c5571775a,poll_notice_stage_de917f3c5571775a,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1957,9975 Pres Toluna HI Suivi du potentiel électoral V3 Lopinion 3 septembre,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1957,,needs_review,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,,pending,false,false,Open Commission des sondages notice and verify metadata only.,,2026-06-29T06:54:04Z
poll_metadata_review_3dfdf61fddcb4b47,poll_notice_stage_3dfdf61fddcb4b47,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2035,10049 Pres potentiel vote RN CLUSTER 17 Marianne 14 janvier,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2035,,needs_review,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,,pending,false,false,Open Commission des sondages notice and verify metadata only.,,2026-06-29T06:54:04Z
poll_metadata_review_c846a56414dcac91,poll_notice_stage_c846a56414dcac91,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2169,10168 Pres Enquete electorale IPSOS BVA Le Monde 13 avril,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2169,,needs_review,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,,pending,false,false,Open Commission des sondages notice and verify metadata only.,,2026-06-29T06:54:04Z
poll_metadata_review_32a4a8ed46edec82,poll_notice_stage_32a4a8ed46edec82,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2210,10205 Pres IV OPINIONWAY JDD 13 juin,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2210,,needs_review,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,,pending,false,false,Open Commission des sondages notice and verify metadata only.,,2026-06-29T06:54:04Z
poll_metadata_review_95c383a8f1466f6b,poll_notice_stage_95c383a8f1466f6b,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2215,10210 Pres seconds tours IFOP Marianne 24 juin,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2215,,needs_review,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,,pending,false,false,Open Commission des sondages notice and verify metadata only.,,2026-06-29T06:54:04Z
poll_metadata_review_59e3cbc1d489175e,poll_notice_stage_59e3cbc1d489175e,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2216,10211 Pres IV IFOP Le Figaro 25 juin,likely_presidential_voting_intention_notice,high,polls_metadata_candidate,src_commission_sondages,,,,,,,,,,,,,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2216,,needs_review,Metadata-only review queue. Do not enter candidate-level poll values here.,2026-06-29T04:30:21Z,,pending,false,false,Open Commission des sondages notice and verify metadata only.,,2026-06-29T06:54:04Z
