document_id,url,http_status,final_url,content_type,title_snippet,checked_at,check_note
doc_legifrance_loi_1962_presidentielle,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000684037,403,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000684037,text/html; charset=UTF-8,,2026-06-29T03:27:08Z,http_error: Forbidden
doc_legifrance_article_3_presentations,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000052081106,403,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000052081106,text/html; charset=UTF-8,,2026-06-29T03:27:08Z,http_error: Forbidden
doc_legifrance_code_electoral_propagande,https://www.legifrance.gouv.fr/codes/id/LEGISCTA000006148458,403,https://www.legifrance.gouv.fr/codes/id/LEGISCTA000006148458,text/html; charset=UTF-8,,2026-06-29T03:27:08Z,http_error: Forbidden
doc_commission_sondages_notices_index,https://www.commission-des-sondages.fr/notices/,200,https://www.commission-des-sondages.fr/notices/,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",2026-06-29T03:27:08Z,reachable
doc_commission_sondages_2027_presidentielle_tag,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,200,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",2026-06-29T03:27:08Z,reachable
doc_cnccfp_elections_comptes_campagne,https://cnccfp.fr/elections/,200,https://cnccfp.fr/elections/,text/html; charset=UTF-8,Élections et comptes de campagne - CNCCFP,2026-06-29T03:27:08Z,reachable
doc_cnccfp_guide_presidentielle_2026_2027,https://cnccfp.fr/publication-du-guide-a-lusage-des-candidats-a-lelection-du-president-de-la-republique-et-de-leur-mandataire-edition-2026-2027/,200,https://cnccfp.fr/publication-du-guide-a-lusage-des-candidats-a-lelection-du-president-de-la-republique-et-de-leur-mandataire-edition-2026-2027/,text/html; charset=UTF-8,Publication du guide à l’usage des candidats à l’élection du Président de la République et de leur mandataire - édition 2026-2027 - CNCCFP,2026-06-29T03:27:08Z,reachable
