feed_id,source_id,feed_name,feed_type,url,topic,collection_method,automation_stage,status,refresh_cadence,review_required,notes,last_checked_at
poll_media_presidentielle_2027_sondage,src_google_news_fr_discovery,poll media presidentielle 2027 sondage,rss,https://news.google.com/rss/search?q=%22presidentielle+2027%22+sondage+when%3A90d&hl=fr&gl=FR&ceid=FR:fr,poll_media_discovery,automated,staging,active,manual,true,Discovery metadata only. No article scraping and no candidate-level poll values.,2026-06-29
poll_media_intention_vote_2027,src_google_news_fr_discovery,poll media intention vote 2027,rss,https://news.google.com/rss/search?q=%22intention+de+vote%22+%22presidentielle+2027%22+when%3A90d&hl=fr&gl=FR&ceid=FR:fr,poll_media_discovery,automated,staging,active,manual,true,Discovery metadata only. No article scraping and no candidate-level poll values.,2026-06-29
poll_media_second_tour_2027,src_google_news_fr_discovery,poll media second tour 2027,rss,https://news.google.com/rss/search?q=%22second+tour%22+%22presidentielle+2027%22+sondage+when%3A90d&hl=fr&gl=FR&ceid=FR:fr,poll_media_discovery,automated,staging,active,manual,true,Discovery metadata only. No article scraping and no candidate-level poll values.,2026-06-29
