candidate_id,full_name,display_name,party,bloc,current_status,status_as_of,official_site,wikidata_id,color_hex,color_name,display_order,notes,last_verified_at,source_id
cand_attal,Gabriel Attal,Gabriel Attal,Renaissance,Centre / Macron camp,tracked_public_actor,2026-06-30,https://utilisateur.parti-renaissance.fr/grand-rassemblement/meeting-sanguinet,,#2F80ED,blue,1,"Tracked public campaign actor for FR27 Monitor. Status is a source-linked monitoring category, not a verified formal candidacy claim or polling-support measure.",2026-06-30,src_renaissance
cand_philippe,Édouard Philippe,Édouard Philippe,Horizons,Centre-right,tracked_public_actor,2026-06-30,https://horizonsleparti.fr/discours-dedouard-philippe-lors-du-conseil-national-a-reims-10-mai-2026/,,#00A3A3,teal,2,"Tracked public campaign actor for FR27 Monitor. Status is a source-linked monitoring category, not a verified formal candidacy claim or polling-support measure.",2026-06-30,src_horizons
cand_melenchon,Jean-Luc Mélenchon,Jean-Luc Mélenchon,La France insoumise,Left,tracked_public_actor,2026-06-30,https://melenchon.fr/2026/03/09/meeting-avec-jean-luc-melenchon-et-sophia-chikirou-a-paris/,,#C026D3,purple,3,"Tracked public campaign actor for FR27 Monitor. Status is a source-linked monitoring category, not a verified formal candidacy claim or polling-support measure.",2026-06-30,src_melenchon_official
cand_retailleau,Bruno Retailleau,Bruno Retailleau,Les Républicains,Right / Les Républicains,tracked_public_actor,2026-04-20,https://republicains.fr/actualites/2026/04/20/bruno-retailleau-largement-designe-comme-candidat-des-republicains-pour-lelection-presidentielle/,,#3b82f6,republicains_blue,4,"Tracked public campaign actor for FR27 Monitor. Status is a source-linked monitoring category, not a verified formal candidacy claim or polling-support measure.",2026-07-01,src_republicains
cand_bardella,Jordan Bardella,Jordan Bardella,Rassemblement National,RN / far-right,tracked_public_actor,2026-07-01,https://rassemblementnational.fr/membre/jordan-bardella,,#1d4ed8,rn_blue,5,"Tracked public campaign actor for FR27 Monitor. Status is a source-linked monitoring category, not a verified formal candidacy claim or polling-support measure.",2026-07-01,src_rassemblement_national
